CG001 61	157360.214493	143467.718378
CG002 9	154993.72805	88452.7063829
CG003 12	46491.6404366	86470.6071317
CG005 32	110425.237418	102983.349276
CG007 43	73370.1894175	58536.4878918
CG008_rep_avg 33	119648.259007	106469.045505
CG010 23	104093.01364	123752.187903
CG011 44	72922.8040419	57929.116699
CG013 55	98208.1752373	18188.3493343
CG015 48	83696.4916847	45277.971999
CG016 50	64657.3086181	38732.7480336
CG019 45	76501.1380306	56083.296395
CG020 1	122727.323063	90224.2915953
CG021 34	175744.514442	104083.343098
CG022 37	140136.889716	110208.365082
CG023 36	162611.425644	115041.362405
CG024 35	162721.753712	116917.688596
CG025 30	91456.9072387	83131.5754868
CG026 47	76550.471884	52986.5600745
CG030_rep_avg 33	119661.417401	106524.467591
CG031 63	136561.855448	132220.50608
CG032 6	169200.744186	94812.067102
CG033 19	78205.3929002	109056.462355
CG035 57	110288.592563	38280.2725126
CG036 42	137781.739734	134872.78416
CG037_rep_avg 41	151656.557046	143057.611818
CG038_rep_avg 17	72951.1451969	101992.179823
CG039 28	118338.492772	154619.773398
CG041 39	133901.835613	111699.452655
CG042 25	102645.590366	132492.200133
CG043_rep_avg 17	72979.4863519	101964.438455
CG044 3	119253.507205	93211.0912488
CG045 13	55885.7211405	89977.6133468
CG048 60	99663.6959842	44730.5752094
CG049 52	86309.9510508	40592.8410476
CG051 38	141008.380233	111406.075897
CG053 58	103852.113822	40926.8590817
CG057 31	95152.391416	83135.291131
CG059 14	63900.1949055	92011.8085496
CG061 29	86611.581915	81975.8500181
CG062 2	121678.700328	88838.6236443
CG063 18	74758.9060133	104185.008417
CG064 4	100800.378737	86379.6455296
CG065 5	101152.618807	84526.5677881
CG066 16	70102.8591178	96836.4920392
CG068_rep_avg 41	151585.704159	143017.331248
CG073 24	102575.749662	129416.223574
CG075 62	139199.607232	142088.935836
CG077 26	116602.597027	136187.635935
CG079 59	100403.602567	45506.6581232
CG084 10	145833.461875	91603.9365864
CG085 53	103706.359311	31980.0956552
CG086_rep_avg 8	155970.485714	90170.5058541
CG087 22	100894.511859	111031.482708
CG088 7	170444.718454	95030.6710306
CG089 54	101467.408064	30377.7453774
CG090 40	152581.693321	156023.468245
CG091 27	112591.311408	140473.348779
CG092_rep_avg 8	155909.754667	90144.5400753
CG093 11	134958.555821	91209.0042807
CG094 46	77409.8161915	54054.8484063
CG095 56	101104.03397	30082.4116146
CG096 49	82975.8166	44798.0662716
CG097 15	66819.3338723	96769.8295378
CG098 21	88301.9293749	119645.860434
CG099 51	64798.0022091	41146.3960858
CG100 20	83713.6988145	118126.339957
